year,China,Germany,India,Indonesia,Iran,Japan,Other Countries,Russia,Saudi Arabia,South Korea,United States
1950,78.8353042602539,510.4986267089844,60.94255828857422,9.830512046813965,9.600772857666016,102.54098510742188,2063.4000870799646,415.2340393066406,5.140592098236084,2.183685064315796,2541.4853515625
1951,102.1152114868164,576.631103515625,63.80572509765625,9.390416145324709,6.913701057434082,123.38070678710938,2272.3005051333457,450.0216979980469,0.0,2.923841953277588,2618.704345703125
1952,128.00299072265625,610.757080078125,67.24943542480469,12.720844268798828,4.092480182647705,130.36199951171875,2319.808885862585,481.9008483886719,0.0,3.4623310565948486,2551.2158203125
1953,133.7864990234375,623.2501831054688,68.60765075683594,13.079886436462402,3.828612089157105,145.8686065673828,2370.972285822034,509.826171875,0.4763199985027313,4.693406105041504,2612.97119140625
1954,160.8810272216797,659.4937133789062,72.30652618408203,14.7470064163208,1.0439729690551758,142.6621856689453,2521.85413859901,556.8050537109375,1.2384320497512815,5.1586737632751465,2489.462158203125
1955,190.52149963378903,723.2310180664062,78.69384765625,20.843902587890625,15.813288688659668,142.0069122314453,2716.274934227811,631.3642578125,2.1141281127929688,6.444737911224365,2728.50830078125
1956,215.82765197753903,765.941650390625,81.6187973022461,21.81119728088379,22.80750846862793,160.80078125,2893.9845575061627,692.2293090820312,1.6304800510406494,7.554989814758301,2859.987548828125
1957,255.78868103027344,777.6658325195312,91.61759185791016,22.411678314208984,21.799522399902344,188.27926635742188,3000.4444272546098,757.5147705078125,2.099472045898437,8.214302062988281,2835.772216796875
1958,524.6243896484375,756.1190795898438,95.8012466430664,22.20628547668457,25.228639602661133,181.42086791992188,3037.0100865820423,808.5593872070312,1.996880054473877,9.008586883544922,2747.107666015625
1959,720.1625366210938,755.483154296875,101.4360122680664,23.862234115600582,25.568708419799805,192.92044067382807,3126.8190179299563,850.093017578125,1.853687047958374,11.221376419067385,2831.908447265625
1960,798.8109130859375,813.6021728515625,111.32020568847656,21.38519287109375,37.35860061645508,232.8295745849609,3337.39994671382,885.06982421875,2.674362897872925,12.540118217468262,2897.307861328125
1961,570.6411743164062,834.5062866210938,120.39936065673828,26.00159454345703,36.50875854492188,283.1313171386719,3464.6553704701364,912.7525634765624,3.568320035934448,14.448705673217772,2886.86181640625
1962,459.6253967285156,882.842529296875,132.5797576904297,22.97489356994629,37.42842483520508,293.2784729003906,3672.067230530083,957.9874267578124,6.2499871253967285,17.261587142944336,2993.8984375
1963,456.7867736816406,945.2415161132812,142.43896484375,22.76309585571289,41.304935455322266,325.267822265625,3867.0296855792403,1027.4002685546875,6.938814163208008,21.083171844482425,3126.48388671875
1964,460.6444091796875,968.6317138671876,139.4832000732422,22.374265670776367,47.51907730102539,359.35260009765625,4128.891490036622,1092.6644287109375,7.041168212890625,22.19515419006348,3264.306396484375
1965,500.293701171875,959.842041015625,153.6967010498047,24.66822624206543,53.718387603759766,386.9696350097656,4321.612065108493,1159.118896484375,4.216253757476807,24.978307723999023,3399.539306640625
1966,549.4666748046875,951.154541015625,159.37142944335938,23.37495231628418,64.10336303710938,419.7802429199219,4515.067410074174,1224.08740234375,6.4073262214660645,29.98223304748535,3571.41748046875
1967,460.2332153320313,936.01318359375,159.55709838867188,24.54004669189453,67.88094329833984,489.9156494140625,4680.431608757004,1279.96875,25.48547744750977,35.11323547363281,3705.4609375
1968,495.5138854980469,984.5819702148438,174.07054138183594,27.56260871887207,82.32955932617188,562.5682373046875,4961.3121839948,1315.9423828125,29.07911872863769,37.1971435546875,3840.92333984375
1969,607.6943359375,1051.8028564453125,177.4113006591797,33.362213134765625,83.03874206542969,653.852783203125,5258.770702036098,1370.4676513671875,35.27095031738281,42.46821975708008,4035.15625
1970,807.963623046875,1025.802490234375,181.72386169433597,35.791385650634766,91.7874526977539,769.7476196289062,5671.700536699966,1441.3785400390625,45.2513313293457,53.71635055541992,4339.7041015625
1971,909.2098388671876,1037.0792236328125,191.96485900878903,38.95510482788086,101.6278305053711,799.6470947265625,5952.950918080285,1529.5963134765625,59.75650024414063,58.53373718261719,4365.4833984375
1972,968.6358032226562,1041.3564453125,203.0370330810547,43.30589294433594,106.01513671875,861.0535888671875,6198.5654103104025,1609.329345703125,70.28128814697266,60.24706268310547,4573.03369140625
1973,1008.2686157226562,1085.602783203125,209.09603881835935,49.09738159179688,129.47531127929688,914.2659301757812,6534.65577111952,1677.2958984375,95.05292510986328,72.97483825683594,4777.72509765625
1974,1028.0634765625,1062.5108642578125,215.8540496826172,51.22541809082031,143.7718048095703,914.3062133789062,6571.930159397423,1741.1617431640625,98.70095825195312,75.55072784423828,4608.46240234375
1975,1183.153564453125,1002.2857666015624,234.209716796875,53.930782318115234,139.21389770507812,869.8148803710938,6651.237158527598,1830.21337890625,83.25962829589844,81.6657943725586,4414.455078125
1976,1226.3394775390625,1090.8076171875,244.7498321533203,61.78471755981445,156.49041748046875,909.5750732421876,7019.7866017166525,1900.700927734375,101.45812225341795,93.10455322265624,4621.53857421875
